date,TotalExchangeMarginMaintenance
2017-01-18,153.583
2017-01-19,153.553
2017-01-20,153.688
2017-01-23,154.734
2017-01-24,154.936
2017-02-02,157.156
2017-02-03,157.729
2017-02-06,158.975
2017-02-07,158.251
2017-02-08,159.016
2017-02-09,160.606
2017-02-10,159.969
2017-02-13,160.262
2017-02-14,159.555
2017-02-15,160.968
2017-02-16,160.514
2017-02-17,161.168
2017-02-20,160.228
2017-02-21,160.561
2017-02-22,161.552
2017-02-23,160.69
2017-02-24,160.932
2017-03-01,159.213
2017-03-02,159.305
2017-03-03,158.045
2017-03-06,159.006
2017-03-07,159.638
2017-03-08,159.822
2017-03-09,158.372
2017-03-10,157.747
2017-03-13,158.341
2017-03-14,159.339
2017-03-15,159.154
2017-03-16,159.628
2017-03-17,161.175
2017-03-20,161.357
2017-03-21,161.205
2017-03-22,161.187
2017-03-23,161.362
2017-03-24,160.589
2017-03-27,158.465
2017-03-28,157.493
2017-03-29,158.754
2017-03-30,159.407
2017-03-31,159.346
2017-04-05,160.154
2017-04-06,159.455
2017-04-07,159.981
2017-04-10,160.157
2017-04-11,157.554
2017-04-12,157.402
2017-04-13,157.297
2017-04-14,154.489
2017-04-17,153.79
2017-04-18,155.74
2017-04-19,154.224
2017-04-20,153.763
2017-04-21,155.133
2017-04-24,154.555
2017-04-25,156.72
2017-04-26,158.126
2017-04-27,158.293
2017-04-28,157.778
2017-05-02,158.625
2017-05-03,157.342
2017-05-04,158.024
2017-05-05,156.37
2017-05-08,154.837
2017-05-09,153.516
2017-05-10,155.891
2017-05-11,155.526
2017-05-12,155.748
2017-05-15,157.211
2017-05-16,156.474
2017-05-17,156.594
2017-05-18,156.934
2017-05-19,157.243
2017-05-22,157.507
2017-05-23,158.186
2017-05-24,158.986
2017-05-25,160.351
2017-05-26,159.903
2017-05-31,159.11
2017-06-01,160.19
2017-06-02,161.42
2017-06-05,163.112
2017-06-06,163.269
2017-06-07,163.022
2017-06-08,162.966
2017-06-09,162.654
2017-06-12,161.66
2017-06-13,161.2
2017-06-14,158.742
2017-06-15,158.863
2017-06-16,160.325
2017-06-19,161.401
2017-06-20,161.065
2017-06-21,162.421
2017-06-22,163.302
2017-06-23,162.327
2017-06-26,163.723
2017-06-27,163.657
2017-06-28,162.642
2017-06-29,161.978
2017-06-30,162.122
2017-07-03,161.491
2017-07-04,160.877
2017-07-05,161.475
2017-07-06,162.038
2017-07-07,160.783
2017-07-10,159.891
2017-07-11,160.774
2017-07-12,162.152
2017-07-13,161.385
2017-07-14,162.373
2017-07-17,162.759
2017-07-18,163.339
2017-07-19,163.504
2017-07-20,163.03
2017-07-21,162.448
2017-07-24,162.669
2017-07-25,163.765
2017-07-26,163.006
2017-07-27,163.609
2017-07-28,162.582
2017-07-31,162.954
2017-08-01,163.945
2017-08-02,164.661
2017-08-03,163.565
2017-08-04,164.466
2017-08-07,165.719
2017-08-08,163.559
2017-08-09,162.082
2017-08-10,158.375
2017-08-11,159.626
2017-08-14,155.645
2017-08-15,157.414
2017-08-16,158.509
2017-08-17,160.822
2017-08-18,160.539
2017-08-21,161.284
2017-08-22,162.846
2017-08-23,163.629
2017-08-24,164.894
2017-08-25,165.65
2017-08-28,166.905
2017-08-29,165.924
2017-08-30,166.544
2017-08-31,166.659
2017-09-01,167.792
2017-09-04,166.445
2017-09-05,168.386
2017-09-06,167.526
2017-09-07,164.869
2017-09-08,166.667
2017-09-11,165.013
2017-09-12,163.992
2017-09-13,162.713
2017-09-14,163.445
2017-09-15,163.635
2017-09-18,164.038
2017-09-19,162.081
2017-09-20,160.849
2017-09-21,161.026
2017-09-22,159.779
2017-09-25,156.83
2017-09-26,154.709
2017-09-27,157.09
2017-09-28,157.42
2017-09-29,156.693
2017-10-02,160.57
2017-10-03,160.841
2017-10-05,162.289
2017-10-06,162.172
2017-10-11,160.893
2017-10-12,161.906
2017-10-13,162.373
2017-10-16,162.242
2017-10-17,161.212
2017-10-18,160.578
2017-10-19,162.283
2017-10-20,162.086
2017-10-23,162.145
2017-10-24,163.323
2017-10-25,162.705
2017-10-26,163.772
2017-10-27,160.384
2017-10-30,160.86
2017-10-31,162.642
2017-11-01,163.334
2017-11-02,162.665
2017-11-03,162.743
2017-11-06,162.749
2017-11-07,162.825
2017-11-08,162.984
2017-11-09,159.37
2017-11-10,159.821
2017-11-13,157.372
2017-11-14,157.75
2017-11-15,157.498
2017-11-16,157.869
2017-11-17,159.438
2017-11-20,159.326
2017-11-21,161.845
2017-11-22,162.08
2017-11-23,162.687
2017-11-24,162.161
2017-11-27,160.995
2017-11-28,160.523
2017-11-29,160.515
2017-11-30,159.366
2017-12-01,157.217
2017-12-04,157.588
2017-12-05,155.619
2017-12-06,152.385
2017-12-07,151.313
2017-12-08,152.74
2017-12-11,155.814
2017-12-12,154.717
2017-12-13,155.086
2017-12-14,155.198
2017-12-15,154.368
2017-12-18,154.343
2017-12-19,153.91
2017-12-20,155.548
2017-12-21,155.488
2017-12-22,155.335
2017-12-25,155.074
2017-12-26,152.455
2017-12-27,153.417
2017-12-28,155.118
2017-12-29,155.313
2018-01-02,157.068
2018-01-03,157.635
2018-01-04,159.611
2018-01-05,159.865
2018-01-08,158.916
2018-01-09,158.228
2018-01-10,156.942
2018-01-11,157.779
2018-01-12,159.854
2018-01-15,161.115
2018-01-16,162.693
2018-01-17,162.523
2018-01-18,161.278
2018-01-19,161.154
2018-01-22,162.406
2018-01-23,161.812
2018-01-24,162.557
2018-01-25,160.445
2018-01-26,161.349
2018-01-29,161.771
2018-01-30,159.834
2018-01-31,160.492
2018-02-01,160.167
2018-02-02,159.727
2018-02-05,157.116
2018-02-06,147.669
2018-02-07,149.652
2018-02-08,148.128
2018-02-09,147.385
2018-02-12,147.997
2018-02-21,153.993
2018-02-22,154.895
2018-02-23,156.193
2018-02-26,156.245
2018-02-27,155.989
2018-03-01,156.691
2018-03-02,155.74
2018-03-05,153.98
2018-03-06,154.784
2018-03-07,154.511
2018-03-08,156.061
2018-03-09,156.198
2018-03-12,156.66
2018-03-13,157.927
2018-03-14,157.321
2018-03-15,158.28
2018-03-16,157.57
2018-03-19,157.647
2018-03-20,157.312
2018-03-21,158.375
2018-03-22,155.484
2018-03-23,153.445
2018-03-26,153.763
2018-03-27,155.352
2018-03-28,153.817
2018-03-29,153.776
2018-03-30,153.964
2018-04-02,155.067
2018-04-03,154.502
2018-04-09,154.76
2018-04-10,154.405
2018-04-11,155.457
2018-04-12,155.566
2018-04-13,155.97
2018-04-16,155.685
2018-04-17,152.48
2018-04-18,152.875
2018-04-19,154.607
2018-04-20,153.011
2018-04-23,151.633
2018-04-24,147.456
2018-04-25,149.383
2018-04-26,145.758
2018-04-27,145.125
2018-04-30,149.858
2018-05-02,149.314
2018-05-03,148.139
2018-05-04,148.168
2018-05-07,150.007
2018-05-08,150.611
2018-05-09,150.805
2018-05-10,152.034
2018-05-11,152.122
2018-05-14,153.939
2018-05-15,153.411
2018-05-16,153.06
2018-05-17,152.187
2018-05-18,152.327
2018-05-21,154.95
2018-05-22,150.407
2018-05-23,153.405
2018-05-24,154.956
2018-05-25,155.33
2018-05-28,157.033
2018-05-29,156.471
2018-05-30,155.669
2018-05-31,154.847
2018-06-01,156.894
2018-06-04,159.397
2018-06-05,158.957
2018-06-06,161.761
2018-06-07,162.8
2018-06-08,161.39
2018-06-11,162.454
2018-06-12,162.176
2018-06-13,161.533
2018-06-14,160.372
2018-06-15,161.4
2018-06-19,158.544
2018-06-20,154.094
2018-06-21,156.823
2018-06-22,154.451
2018-06-25,153.398
2018-06-26,154.211
2018-06-27,153.649
2018-06-28,153.459
2018-06-29,155.303
2018-07-02,156.263
2018-07-03,153.776
2018-07-04,154.302
2018-07-05,150.989
2018-07-06,151.762
2018-07-09,151.85
2018-07-10,153.682
2018-07-11,152.55
2018-07-12,154.918
2018-07-13,156.625
2018-07-16,155.574
2018-07-17,154.426
2018-07-18,153.667
2018-07-19,154.076
2018-07-20,152.624
2018-07-23,152.167
2018-07-24,154.478
2018-07-25,155.173
2018-07-26,155.356
2018-07-27,156.682
2018-07-30,153.667
2018-07-31,153.865
2018-08-01,154.591
2018-08-02,151.397
2018-08-03,152.605
2018-08-06,153.164
2018-08-07,153.248
2018-08-08,152.811
2018-08-09,152.466
2018-08-10,150.448
2018-08-13,145.42
2018-08-14,147.441
2018-08-15,145.082
2018-08-16,146.196
2018-08-17,145.137
2018-08-20,145.067
2018-08-21,147.38
2018-08-22,147.131
2018-08-23,146.427
2018-08-24,146.211
2018-08-27,149.47
2018-08-28,150.12
2018-08-29,151.25
2018-08-30,150.584
2018-08-31,151.211
2018-09-03,147.519
2018-09-04,148.448
2018-09-05,147.906
2018-09-06,146.399
2018-09-07,142.843
2018-09-10,139.272
2018-09-11,141.195
2018-09-12,139.987
2018-09-13,140.263
2018-09-14,144.01
2018-09-17,144.006
2018-09-18,141.858
2018-09-19,143.319
2018-09-20,142.244
2018-09-21,144.505
2018-09-25,145.929
2018-09-26,146.265
2018-09-27,145.334
2018-09-28,145.638
2018-10-01,146.777
2018-10-02,145.298
2018-10-03,144.478
2018-10-04,143.33
2018-10-05,139.54
2018-10-08,139.607
2018-10-09,138.851
2018-10-11,131.068
2018-10-12,135.508
2018-10-15,136.032
2018-10-16,136.808
2018-10-17,137.163
2018-10-18,135.576
2018-10-19,135.683
2018-10-22,137.904
2018-10-23,133.813
2018-10-24,133.053
2018-10-25,128.955
2018-10-26,128.297
2018-10-29,127.614
2018-10-30,127.378
2018-10-31,131.363
2018-11-01,134.536
2018-11-02,135.957
2018-11-05,135.786
2018-11-06,133.003
2018-11-07,136.13
2018-11-08,135.999
2018-11-09,135.488
2018-11-12,134.357
2018-11-13,134.661
2018-11-14,135.246
2018-11-15,136.083
2018-11-16,136.638
2018-11-19,138.198
2018-11-20,137.117
2018-11-21,138.234
2018-11-22,136.235
2018-11-23,134.112
2018-11-26,136.988
2018-11-27,137.872
2018-11-28,140.279
2018-11-29,140.705
2018-11-30,141.547
2018-12-03,147.168
2018-12-04,145.652
2018-12-05,143.701
2018-12-06,138.21
2018-12-07,139.399
2018-12-10,137.002
2018-12-11,137.794
2018-12-12,141.017
2018-12-13,141.168
2018-12-14,139.898
2018-12-17,139.511
2018-12-18,137.959
2018-12-19,137.759
2018-12-20,135.507
2018-12-21,135.831
2018-12-24,136.793
2018-12-25,136.061
2018-12-26,134.381
2018-12-27,136.449
2018-12-28,136.836
2019-01-02,136.047
2019-01-03,134.608
2019-01-04,133.263
2019-01-07,136.148
2019-01-08,137.087
2019-01-09,138.752
2019-01-10,139.464
2019-01-11,139.301
2019-01-14,138.687
2019-01-15,140.704
2019-01-16,141.405
2019-01-17,140.811
2019-01-18,142.354
2019-01-21,142.548
2019-01-22,141.619
2019-01-23,142.366
2019-01-24,143.03
2019-01-25,144.138
2019-01-28,145.475
2019-01-29,144.286
2019-01-30,145.083
2019-02-11,146.859
2019-02-12,148.202
2019-02-13,150.404
2019-02-14,151.213
2019-02-15,149.519
2019-02-18,151.189
2019-02-19,152.197
2019-02-20,153.143
2019-02-21,154.164
2019-02-22,153.119
2019-02-25,155.844
2019-02-26,154.426
2019-02-27,153.605
2019-03-04,154.703
2019-03-05,153.068
2019-03-06,153.893
2019-03-07,151.956
2019-03-08,152.103
2019-03-11,152.593
2019-03-12,153.185
2019-03-13,153.234
2019-03-14,153.729
2019-03-15,154.791
2019-03-18,156.081
2019-03-19,156.16
2019-03-20,156.408
2019-03-21,156.852
2019-03-22,155.618
2019-03-25,153.058
2019-03-26,153.329
2019-03-27,151.299
2019-03-28,153.427
2019-03-29,155.505
2019-04-01,155.984
2019-04-02,156.558
2019-04-03,158.051
2019-04-08,159.311
2019-04-09,161.146
2019-04-10,161.599
2019-04-11,159.09
2019-04-12,157.339
2019-04-15,159.115
2019-04-16,160.271
2019-04-17,160.796
2019-04-18,157.714
2019-04-19,158.623
2019-04-22,158.25
2019-04-23,157.904
2019-04-24,156.916
2019-04-25,157.131
2019-04-26,154.715
2019-04-29,152.272
2019-04-30,153.663
2019-05-02,154.447
2019-05-03,155.709
2019-05-06,151.855
2019-05-07,152.962
2019-05-08,152.374
2019-05-09,148.304
2019-05-10,147.882
2019-05-13,144.633
2019-05-14,146.446
2019-05-15,148.208
2019-05-16,145.836
2019-05-17,143.565
2019-05-20,143.2
2019-05-21,145.862
2019-05-22,145.062
2019-05-23,142.345
2019-05-24,142.602
2019-05-27,142.513
2019-05-28,143.797
2019-05-29,144.004
2019-05-30,145.062
2019-05-31,147.025
2019-06-03,145.895
2019-06-04,145.043
2019-06-05,145.664
2019-06-06,143.702
2019-06-10,146.958
2019-06-11,148.339
2019-06-12,148.512
2019-06-13,148.214
2019-06-14,148.333
2019-06-17,148.906
2019-06-18,148.331
2019-06-19,151.307
2019-06-20,153.394
2019-06-21,152.539
2019-06-24,153.617
2019-06-25,151.503
2019-06-26,151.99
2019-06-27,153.37
2019-06-28,152.397
2019-07-01,156.13
2019-07-02,156.33
2019-07-03,155.075
2019-07-04,155.486
2019-07-05,156.153
2019-07-08,154.903
2019-07-09,153.559
2019-07-10,154.922
2019-07-11,155.005
2019-07-12,155.209
2019-07-15,155.919
2019-07-16,156.055
2019-07-17,155.652
2019-07-18,153.896
2019-07-19,155.092
2019-07-22,155.589
2019-07-23,155.403
2019-07-24,156.635
2019-07-25,157.298
2019-07-26,157.868
2019-07-29,157.816
2019-07-30,154.076
2019-07-31,156.103
2019-08-01,155.296
2019-08-02,151.54
2019-08-05,149.426
2019-08-06,150.324
2019-08-07,149.165
2019-08-08,151.632
2019-08-12,153.028
2019-08-13,151.513
2019-08-14,152.223
2019-08-15,150.976
2019-08-16,152.874
2019-08-19,154.554
2019-08-20,154.438
2019-08-21,155.077
2019-08-22,154.827
2019-08-23,155.441
2019-08-26,151.664
2019-08-27,152.841
2019-08-28,153.352
2019-08-29,153.563
2019-08-30,155.478
2019-09-02,157.661
2019-09-03,156.487
2019-09-04,158.183
2019-09-05,159.455
2019-09-06,158.795
2019-09-09,157.786
2019-09-10,156.389
2019-09-11,156.609
2019-09-12,157.253
2019-09-16,156.945
2019-09-17,156.663
2019-09-18,157.217
2019-09-19,156.694
2019-09-20,157.636
2019-09-23,157.75
2019-09-24,157.329
2019-09-25,156.394
2019-09-26,155.903
2019-09-27,153.662
2019-10-01,155.163
2019-10-02,155.553
2019-10-03,155.251
2019-10-04,155.124
2019-10-07,155.733
2019-10-08,155.506
2019-10-09,154.369
2019-10-14,157.598
