name,contract_type,buy_top5_trader_open_interest,buy_top5_trader_open_interest_per,buy_top10_trader_open_interest,buy_top10_trader_open_interest_per,sell_top5_trader_open_interest,sell_top5_trader_open_interest_per,sell_top10_trader_open_interest,sell_top10_trader_open_interest_per,market_open_interest,buy_top5_specific_open_interest,buy_top5_specific_open_interest_per,buy_top10_specific_open_interest,buy_top10_specific_open_interest_per,sell_top5_specific_open_interest,sell_top5_specific_open_interest_per,sell_top10_specific_open_interest,sell_top10_specific_open_interest_per,date,futures_id
東證期貨,201611,464,86.6,511,95.3,276,51.5,341,63.6,536,138,25.7,138,25.7,156,29.1,156,29.1,2016-10-20,TJF
東證期貨,all,521,84.4,588,95.3,277,44.9,370,60.0,617,138,22.4,138,22.4,156,25.3,156,25.3,2016-10-20,TJF
東證期貨,201611,484,87.5,528,95.5,286,51.7,344,62.2,553,143,25.9,143,25.9,158,28.6,158,28.6,2016-10-21,TJF
東證期貨,all,557,87.2,606,94.8,288,45.1,370,57.9,639,143,22.4,143,22.4,158,24.7,158,24.7,2016-10-21,TJF
東證期貨,201611,495,87.9,535,95.0,292,51.9,351,62.3,563,144,25.6,144,25.6,158,28.1,158,28.1,2016-10-24,TJF
東證期貨,all,568,87.7,612,94.4,294,45.4,372,57.4,648,144,22.2,144,22.2,158,24.4,158,24.4,2016-10-24,TJF
東證期貨,201611,529,88.6,571,95.6,316,52.9,387,64.8,597,144,24.1,144,24.1,158,26.5,158,26.5,2016-10-25,TJF
東證期貨,all,601,87.7,648,94.6,318,46.4,409,59.7,685,144,21.0,144,21.0,158,23.1,158,23.1,2016-10-25,TJF
東證期貨,201611,534,87.4,578,94.6,328,53.7,403,66.0,611,126,20.6,126,20.6,158,25.9,158,25.9,2016-10-26,TJF
東證期貨,all,610,86.0,668,94.2,328,46.3,423,59.7,709,126,17.8,126,17.8,158,22.3,158,22.3,2016-10-26,TJF
東證期貨,201611,515,85.1,562,92.9,321,53.1,394,65.1,605,127,21.0,127,21.0,158,26.1,158,26.1,2016-10-27,TJF
東證期貨,all,599,84.4,661,93.1,323,45.5,416,58.6,710,127,17.9,127,17.9,158,22.3,158,22.3,2016-10-27,TJF
東證期貨,201611,511,87.7,555,95.2,317,54.4,380,65.2,583,121,20.8,121,20.8,158,27.1,158,27.1,2016-10-28,TJF
東證期貨,all,596,86.6,650,94.5,320,46.5,405,58.9,688,121,17.6,121,17.6,158,23.0,158,23.0,2016-10-28,TJF
東證期貨,201611,549,89.0,591,95.8,334,54.1,409,66.3,617,121,19.6,121,19.6,158,25.6,158,25.6,2016-10-31,TJF
東證期貨,all,643,89.7,687,95.8,347,48.4,441,61.5,717,121,16.9,121,16.9,158,22.0,158,22.0,2016-10-31,TJF
東證期貨,201611,563,90.1,608,97.3,392,62.7,455,72.8,625,122,19.5,122,19.5,158,25.3,158,25.3,2016-11-01,TJF
東證期貨,all,613,84.3,699,96.1,394,54.2,482,66.3,727,122,16.8,122,16.8,158,21.7,158,21.7,2016-11-01,TJF
東證期貨,201611,420,87.5,449,93.5,338,70.4,393,81.9,480,122,25.4,122,25.4,158,32.9,158,32.9,2016-11-02,TJF
東證期貨,all,517,86.0,550,91.5,377,62.7,450,74.9,601,122,20.3,122,20.3,158,26.3,158,26.3,2016-11-02,TJF
東證期貨,201611,370,81.1,410,89.9,344,75.4,389,85.3,456,66,14.5,66,14.5,158,34.6,158,34.6,2016-11-03,TJF
東證期貨,all,464,80.1,504,87.0,378,65.3,447,77.2,579,66,11.4,66,11.4,158,27.3,158,27.3,2016-11-03,TJF
東證期貨,201611,317,75.8,368,88.0,372,89.0,392,93.8,418,66,15.8,66,15.8,158,37.8,158,37.8,2016-11-04,TJF
東證期貨,all,436,72.5,508,84.5,482,80.2,528,87.9,601,66,11.0,66,11.0,158,26.3,158,26.3,2016-11-04,TJF
東證期貨,201611,284,83.3,319,93.5,294,86.2,312,91.5,341,61,17.9,61,17.9,158,46.3,158,46.3,2016-11-07,TJF
東證期貨,all,421,78.1,471,87.4,406,75.3,455,84.4,539,61,11.3,61,11.3,158,29.3,158,29.3,2016-11-07,TJF
東證期貨,201611,254,86.1,272,92.2,265,89.8,277,93.9,295,59,20.0,59,20.0,158,53.6,158,53.6,2016-11-08,TJF
東證期貨,all,431,81.8,465,88.2,401,76.1,447,84.8,527,59,11.2,59,11.2,158,30.0,158,30.0,2016-11-08,TJF
東證期貨,201611,116,81.1,129,90.2,122,85.3,131,91.6,143,31,21.7,31,21.7,20,14.0,20,14.0,2016-11-09,TJF
東證期貨,all,381,71.9,440,83.0,412,77.7,459,86.6,530,31,5.8,31,5.8,158,29.8,158,29.8,2016-11-09,TJF
東證期貨,201611,132,95.0,139,100.0,94,67.6,115,82.7,139,31,22.3,31,22.3,0,0.0,0,0.0,2016-11-10,TJF
東證期貨,all,484,83.6,538,92.9,332,57.3,396,68.4,579,45,7.8,45,7.8,158,27.3,158,27.3,2016-11-10,TJF
東證期貨,201612,523,89.1,569,96.9,293,49.9,360,61.3,587,0,0.0,10,1.7,158,26.9,158,26.9,2016-11-11,TJF
東證期貨,all,674,87.8,732,95.3,418,54.4,505,65.8,768,0,0.0,10,1.3,158,20.6,158,20.6,2016-11-11,TJF
東證期貨,201612,602,91.4,629,95.4,323,49.0,397,60.2,659,0,0.0,0,0.0,158,24.0,158,24.0,2016-11-14,TJF
東證期貨,all,778,88.9,827,94.5,465,53.1,569,65.0,875,0,0.0,0,0.0,158,18.1,158,18.1,2016-11-14,TJF
東證期貨,201612,630,88.7,672,94.6,318,44.8,402,56.6,710,65,9.2,65,9.2,158,22.3,158,22.3,2016-11-15,TJF
東證期貨,all,855,86.8,922,93.6,499,50.7,621,63.0,985,65,6.6,65,6.6,158,16.0,158,16.0,2016-11-15,TJF
東證期貨,201612,846,95.2,866,97.4,312,35.1,428,48.1,889,124,13.9,124,13.9,158,17.8,158,17.8,2016-11-16,TJF
東證期貨,all,1055,91.8,1100,95.7,454,39.5,606,52.7,1149,124,10.8,124,10.8,158,13.8,158,13.8,2016-11-16,TJF
東證期貨,201612,842,93.8,868,96.7,340,37.9,461,51.3,898,126,14.0,126,14.0,158,17.6,158,17.6,2016-11-17,TJF
東證期貨,all,1061,91.2,1111,95.5,487,41.9,653,56.1,1163,126,10.8,126,10.8,158,13.6,158,13.6,2016-11-17,TJF
東證期貨,201612,824,91.7,857,95.3,319,35.5,444,49.4,899,127,14.1,127,14.1,158,17.6,158,17.6,2016-11-18,TJF
東證期貨,all,1044,89.3,1104,94.4,448,38.3,621,53.1,1169,127,10.9,127,10.9,158,13.5,158,13.5,2016-11-18,TJF
東證期貨,201612,952,93.2,997,97.6,399,39.0,520,50.9,1022,127,12.4,127,12.4,158,15.5,158,15.5,2016-11-21,TJF
東證期貨,all,1205,93.1,1256,97.0,533,41.2,709,54.7,1295,127,9.8,127,9.8,158,12.2,158,12.2,2016-11-21,TJF
東證期貨,201612,1048,95.7,1075,98.2,425,38.8,565,51.6,1095,140,12.8,140,12.8,158,14.4,158,14.4,2016-11-22,TJF
東證期貨,all,1272,93.0,1329,97.1,560,40.9,759,55.5,1368,140,10.2,140,10.2,158,11.5,158,11.5,2016-11-22,TJF
東證期貨,201612,1064,96.2,1090,98.6,428,38.7,567,51.3,1106,140,12.7,140,12.7,158,14.3,158,14.3,2016-11-23,TJF
東證期貨,all,1288,93.5,1342,97.4,558,40.5,757,54.9,1378,140,10.2,140,10.2,158,11.5,158,11.5,2016-11-23,TJF
東證期貨,201612,1101,95.4,1130,97.9,515,44.6,628,54.4,1154,141,12.2,141,12.2,158,13.7,158,13.7,2016-11-24,TJF
東證期貨,all,1285,92.6,1341,96.6,565,40.7,771,55.5,1388,141,10.2,141,10.2,158,11.4,158,11.4,2016-11-24,TJF
東證期貨,201612,1006,93.8,1037,96.6,491,45.8,604,56.3,1073,141,13.1,141,13.1,158,14.7,158,14.7,2016-11-25,TJF
東證期貨,all,1142,90.5,1200,95.1,501,39.7,694,55.0,1262,141,11.2,141,11.2,158,12.5,158,12.5,2016-11-25,TJF
東證期貨,201612,983,94.4,1018,97.8,458,44.0,564,54.2,1041,138,13.3,138,13.3,158,15.2,158,15.2,2016-11-28,TJF
東證期貨,all,1138,91.0,1204,96.2,501,40.0,662,52.9,1251,138,11.0,138,11.0,158,12.6,158,12.6,2016-11-28,TJF
東證期貨,201612,999,93.9,1036,97.4,463,43.5,563,52.9,1064,138,13.0,138,13.0,158,14.8,158,14.8,2016-11-29,TJF
東證期貨,all,1168,91.3,1232,96.3,506,39.6,667,52.2,1279,138,10.8,138,10.8,158,12.4,158,12.4,2016-11-29,TJF
東證期貨,201612,1017,92.9,1072,97.9,463,42.3,574,52.4,1095,138,12.6,138,12.6,158,14.4,158,14.4,2016-11-30,TJF
