出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1140817,11407,4427,展頌,紡織纖維,278374,222111,313773,25.33102817960389,-11.281722774107395,1939741,2133759,-9.092779456349101,-
1140817,11407,4539,台智網,電機機械,75285,66242,79135,13.651459798919115,-4.865103936311367,540809,507508,6.56166996382323,-
1140817,11407,4548,名超,電子工業,59323,82325,38642,-27.940479805648344,53.51948656901817,404303,300833,34.394497944042044,-
1140817,11407,4586,能海電能,電機機械,18,19,203,-5.2631578947368425,-91.13300492610837,482,5240,-90.80152671755725,-
1140817,11407,4712,福格創新,其他,57,57,49,0.0,16.3265306122449,391,241,62.24066390041494,-
1140817,11407,4730,通用,塑膠工業,118573,106635,130964,11.195198574576828,-9.461378699489936,739162,772510,-4.316837322494207,-
1140817,11407,4981,可取,電子工業,5289,12141,46813,-56.436866814924635,-88.70185632196184,88629,257551,-65.58778649665503,-
1140817,11407,4985,富相,電子工業,70698,74704,59090,-5.3624973227671875,19.64460991707565,537405,446816,20.27434111580606,-
1140817,11407,5216,優燈,電子工業,5212,11701,7227,-55.45679856422528,-27.881555278815554,55946,52444,6.677598962703073,-
1140817,11407,5295,懷藝,電子工業,22692,35515,27456,-36.10587075883429,-17.3513986013986,258216,221418,16.61924504782809,-
1140817,11407,5298,合盈,電子工業,31216,20308,13256,53.71282253299192,135.48581774290886,115322,143005,-19.358064403342542,-
1140817,11407,5346,力晶,電子工業,25852,30936,25517,-16.43392810964572,1.3128502566916174,222172,168898,31.542114175419485,-
1140817,11407,5387,茂德科技,電子工業,6233,11317,12987,-44.923566316161526,-52.005852005852006,59219,94447,-37.29922602094296,-
1140817,11407,5541,廣朋實業,建材營造,6465,6116,4953,5.7063440156965335,30.52695336159903,56202,65090,-13.6549393147949,-
1140817,11407,5827,華泰銀行,金融保險業,379226,351382,329111,7.924139540443164,15.22738528946161,2311593,2099618,10.095884108442583,-
1140817,11407,5828,富邦保,金融保險業,4828338,4613143,4317277,4.664823960583923,11.837577250660544,32462288,30019752,8.136429641390775,-
1140817,11407,5830,三信商銀,金融保險業,356326,313501,371317,13.66024350799519,-4.0372511896842855,2128960,2234111,-4.70661484590515,-
1140817,11407,5831,新光人壽,金融保險業,26100714,-20500494,30400671,227.31748805662926,-14.144283196907068,83873747,198392170,-57.72325742492761,-
