date,stock_id,close
2016-01-04,2330,82.06
2016-01-05,2330,82.09
2016-01-06,2330,82.12
2016-01-07,2330,82.15
2016-01-08,2330,82.17
2016-01-11,2330,82.2
2016-01-12,2330,82.23
2016-01-13,2330,82.26
2016-01-14,2330,82.29
2016-01-15,2330,82.32
2016-01-18,2330,82.35
2016-01-19,2330,82.38
2016-01-20,2330,82.41
2016-01-21,2330,82.44
2016-01-22,2330,82.47
2016-01-25,2330,82.5
2016-01-26,2330,82.53
2016-01-27,2330,82.56
2016-01-28,2330,82.59
2016-01-29,2330,82.62
2016-01-30,2330,82.65
2016-02-01,2330,82.68
2016-02-02,2330,82.71
2016-02-03,2330,82.75
2016-02-15,2330,82.78
2016-02-16,2330,82.81
2016-02-17,2330,82.84
2016-02-18,2330,82.88
2016-02-19,2330,82.91
2016-02-22,2330,82.95
2016-02-23,2330,82.98
2016-02-24,2330,83.02
2016-02-25,2330,83.05
2016-02-26,2330,83.09
2016-03-01,2330,83.12
2016-03-02,2330,83.16
2016-03-03,2330,83.19
2016-03-04,2330,83.23
2016-03-07,2330,83.26
2016-03-08,2330,83.3
2016-03-09,2330,83.33
2016-03-10,2330,83.37
2016-03-11,2330,83.41
2016-03-14,2330,83.45
2016-03-15,2330,83.48
2016-03-16,2330,83.52
2016-03-17,2330,83.56
2016-03-18,2330,83.6
2016-03-21,2330,83.64
2016-03-22,2330,83.68
2016-03-23,2330,83.71
2016-03-24,2330,83.75
2016-03-25,2330,83.79
2016-03-28,2330,83.83
2016-03-29,2330,83.87
2016-03-30,2330,83.91
2016-03-31,2330,83.95
2016-04-01,2330,83.99
2016-04-06,2330,84.03
2016-04-07,2330,84.07
2016-04-08,2330,84.1
2016-04-11,2330,84.14
2016-04-12,2330,84.18
2016-04-13,2330,84.22
2016-04-14,2330,84.26
2016-04-15,2330,84.3
2016-04-18,2330,84.34
2016-04-19,2330,84.38
2016-04-20,2330,84.42
2016-04-21,2330,84.46
2016-04-22,2330,84.5
2016-04-25,2330,84.53
2016-04-26,2330,84.57
2016-04-27,2330,84.61
2016-04-28,2330,84.65
2016-04-29,2330,84.68
2016-05-03,2330,84.72
2016-05-04,2330,84.75
2016-05-05,2330,84.78
2016-05-06,2330,84.81
2016-05-09,2330,84.85
2016-05-10,2330,84.88
2016-05-11,2330,84.91
2016-05-12,2330,84.94
2016-05-13,2330,84.97
2016-05-16,2330,85.0
2016-05-17,2330,85.04
2016-05-18,2330,85.07
2016-05-19,2330,85.1
2016-05-20,2330,85.13
2016-05-23,2330,85.16
2016-05-24,2330,85.2
2016-05-25,2330,85.23
2016-05-26,2330,85.27
2016-05-27,2330,85.3
2016-05-30,2330,85.34
2016-05-31,2330,85.37
2016-06-01,2330,85.41
2016-06-02,2330,85.45
2016-06-03,2330,85.48
2016-06-04,2330,85.52
2016-06-06,2330,85.56
2016-06-07,2330,85.6
2016-06-08,2330,85.63
2016-06-13,2330,85.67
2016-06-14,2330,85.71
2016-06-15,2330,85.75
2016-06-16,2330,85.79
2016-06-17,2330,85.83
2016-06-20,2330,85.87
2016-06-21,2330,85.91
2016-06-22,2330,85.96
2016-06-23,2330,86.0
2016-06-24,2330,86.04
2016-06-27,2330,86.08
2016-06-28,2330,86.11
2016-06-29,2330,86.15
2016-06-30,2330,86.19
2016-07-01,2330,86.24
2016-07-04,2330,86.28
2016-07-05,2330,86.32
2016-07-06,2330,86.36
2016-07-07,2330,86.4
2016-07-11,2330,86.45
2016-07-12,2330,86.49
2016-07-13,2330,86.54
2016-07-14,2330,86.58
2016-07-15,2330,86.63
2016-07-18,2330,86.67
2016-07-19,2330,86.72
2016-07-20,2330,86.76
2016-07-21,2330,86.81
2016-07-22,2330,86.85
2016-07-25,2330,86.9
2016-07-26,2330,86.95
2016-07-27,2330,86.99
2016-07-28,2330,87.04
2016-07-29,2330,87.09
2016-08-01,2330,87.14
2016-08-02,2330,87.18
2016-08-03,2330,87.23
2016-08-04,2330,87.27
2016-08-05,2330,87.32
2016-08-08,2330,87.37
2016-08-09,2330,87.42
2016-08-10,2330,87.47
2016-08-11,2330,87.52
2016-08-12,2330,87.57
2016-08-15,2330,87.61
2016-08-16,2330,87.66
2016-08-17,2330,87.71
2016-08-18,2330,87.76
2016-08-19,2330,87.81
2016-08-22,2330,87.86
2016-08-23,2330,87.9
2016-08-24,2330,87.95
2016-08-25,2330,88.0
2016-08-26,2330,88.05
2016-08-29,2330,88.1
2016-08-30,2330,88.15
2016-08-31,2330,88.2
2016-09-01,2330,88.24
2016-09-02,2330,88.29
2016-09-05,2330,88.34
2016-09-06,2330,88.39
2016-09-07,2330,88.44
2016-09-08,2330,88.49
2016-09-09,2330,88.54
2016-09-10,2330,88.59
2016-09-12,2330,88.64
2016-09-13,2330,88.68
2016-09-14,2330,88.73
2016-09-19,2330,88.78
2016-09-20,2330,88.83
2016-09-21,2330,88.88
2016-09-22,2330,88.93
2016-09-23,2330,88.98
2016-09-26,2330,89.03
2016-09-29,2330,89.08
2016-09-30,2330,89.13
2016-10-03,2330,89.18
2016-10-04,2330,89.24
2016-10-05,2330,89.29
2016-10-06,2330,89.34
2016-10-07,2330,89.39
2016-10-11,2330,89.44
2016-10-12,2330,89.49
2016-10-13,2330,89.55
2016-10-14,2330,89.6
2016-10-17,2330,89.65
2016-10-18,2330,89.7
2016-10-19,2330,89.76
2016-10-20,2330,89.81
2016-10-21,2330,89.86
2016-10-24,2330,89.91
2016-10-25,2330,89.97
2016-10-26,2330,90.02
2016-10-27,2330,90.07
2016-10-28,2330,90.12
2016-10-31,2330,90.17
2016-11-01,2330,90.23
2016-11-02,2330,90.28
2016-11-03,2330,90.32
2016-11-04,2330,90.37
2016-11-07,2330,90.43
2016-11-08,2330,90.48
2016-11-09,2330,90.53
2016-11-10,2330,90.58
2016-11-11,2330,90.63
2016-11-14,2330,90.67
2016-11-15,2330,90.72
2016-11-16,2330,90.77
2016-11-17,2330,90.81
2016-11-18,2330,90.86
2016-11-21,2330,90.91
2016-11-22,2330,90.96
2016-11-23,2330,91.01
2016-11-24,2330,91.06
2016-11-25,2330,91.1
2016-11-28,2330,91.15
2016-11-29,2330,91.2
2016-11-30,2330,91.25
2016-12-01,2330,91.3
2016-12-02,2330,91.34
2016-12-05,2330,91.39
2016-12-06,2330,91.44
2016-12-07,2330,91.49
2016-12-08,2330,91.54
2016-12-09,2330,91.59
2016-12-12,2330,91.64
2016-12-13,2330,91.69
2016-12-14,2330,91.74
2016-12-15,2330,91.79
2016-12-16,2330,91.84
2016-12-19,2330,91.89
2016-12-20,2330,91.94
2016-12-21,2330,91.98
2016-12-22,2330,92.03
2016-12-23,2330,92.08
2016-12-26,2330,92.12
2016-12-27,2330,92.17
2016-12-28,2330,92.22
2016-12-29,2330,92.26
2016-12-30,2330,92.31
2017-01-03,2330,92.36
2017-01-04,2330,92.4
2017-01-05,2330,92.45
2017-01-06,2330,92.5
2017-01-09,2330,92.54
2017-01-10,2330,92.59
2017-01-11,2330,92.64
2017-01-12,2330,92.68
2017-01-13,2330,92.73
2017-01-16,2330,92.78
2017-01-17,2330,92.82
2017-01-18,2330,92.87
2017-01-19,2330,92.92
2017-01-20,2330,92.96
2017-01-23,2330,93.01
2017-01-24,2330,93.06
2017-02-02,2330,93.11
2017-02-03,2330,93.15
2017-02-06,2330,93.2
2017-02-07,2330,93.25
2017-02-08,2330,93.3
2017-02-09,2330,93.34
2017-02-10,2330,93.39
2017-02-13,2330,93.44
2017-02-14,2330,93.49
2017-02-15,2330,93.53
2017-02-16,2330,93.58
2017-02-17,2330,93.63
2017-02-18,2330,93.68
2017-02-20,2330,93.73
2017-02-21,2330,93.78
2017-02-22,2330,93.83
2017-02-23,2330,93.88
2017-02-24,2330,93.92
2017-03-01,2330,93.97
2017-03-02,2330,94.02
2017-03-03,2330,94.06
2017-03-06,2330,94.11
2017-03-07,2330,94.15
2017-03-08,2330,94.2
2017-03-09,2330,94.25
2017-03-10,2330,94.29
2017-03-13,2330,94.34
2017-03-14,2330,94.39
2017-03-15,2330,94.44
2017-03-16,2330,94.48
2017-03-17,2330,94.53
2017-03-20,2330,94.58
2017-03-21,2330,94.63
2017-03-22,2330,94.68
2017-03-23,2330,94.73
2017-03-24,2330,94.78
2017-03-27,2330,94.83
2017-03-28,2330,94.89
2017-03-29,2330,94.93
2017-03-30,2330,94.98
2017-03-31,2330,95.03
2017-04-05,2330,95.08
2017-04-06,2330,95.13
2017-04-07,2330,95.18
2017-04-10,2330,95.23
2017-04-11,2330,95.28
2017-04-12,2330,95.33
2017-04-13,2330,95.38
2017-04-14,2330,95.43
2017-04-17,2330,95.48
2017-04-18,2330,95.53
2017-04-19,2330,95.58
2017-04-20,2330,95.62
2017-04-21,2330,95.67
2017-04-24,2330,95.72
2017-04-25,2330,95.77
2017-04-26,2330,95.82
2017-04-27,2330,95.87
2017-04-28,2330,95.92
2017-05-02,2330,95.97
2017-05-03,2330,96.02
2017-05-04,2330,96.07
2017-05-05,2330,96.12
2017-05-08,2330,96.18
2017-05-09,2330,96.23
2017-05-10,2330,96.28
2017-05-11,2330,96.34
2017-05-12,2330,96.39
2017-05-15,2330,96.45
2017-05-16,2330,96.5
2017-05-17,2330,96.56
2017-05-18,2330,96.61
2017-05-19,2330,96.67
2017-05-22,2330,96.72
2017-05-23,2330,96.78
2017-05-24,2330,96.83
