Month,Code,Name,HighestPrice,LowestPrice,WeightedAvgPriceAB,Transaction,TradeValueA,TradeVolumeB,TurnoverRatio
11408,043751,台積電統一4C購04,0.32,0.31,0.31,2,34650,110000,2.75
11408,04375U,台積電元大51售70,1.22,0.89,1.01,175,6984270,6887000,137.74
11408,043828,台積電凱基4A購06,0.21,0.11,0.13,26,168970,1238000,53.82
11408,04388U,台積電永豐53售04,1.06,0.75,0.85,30,392340,460000,15.33
11408,044110,台積電群益48購07,0.16,0.16,0.16,1,1280,8000,
11408,044153,台積電凱基4A購08,0.15,0.06,0.11,131,138680,1250000,15.43
11408,044457,台積電元富51購02,0.95,0.70,0.84,17,233370,276000,9.20
11408,044536,台積電統一49購08,0.67,0.47,0.58,65,561090,954000,10.60
11408,044537,台積電統一57購04,0.65,0.63,0.63,3,40860,64000,2.56
11408,04467U,台積電元大54售18,12.00,12.00,12.00,1,852000,71000,1.42
11408,044755,台積電統一48購03,0.53,0.53,0.53,1,530,1000,
11408,044756,台積電統一49購09,0.45,0.45,0.45,1,9000,20000,1.00
11408,044757,台積電統一49購10,0.69,0.53,0.60,72,393800,648000,25.92
11408,044759,台積電統一57購05,0.57,0.53,0.55,13,225010,405000,16.20
11408,044760,台積電統一57購06,0.98,0.84,0.90,173,7791110,8579000,57.19
11408,04477U,台積電凱基55售02,1.09,0.78,0.89,12,194220,218000,4.36
11408,044908,台積電統一57購07,0.59,0.49,0.55,140,2937210,5289000,52.89
11408,04508U,台積電凱基53售20,1.22,0.87,0.99,33,541760,542000,25.80
11408,04515U,台積電元大51售72,0.45,0.32,0.40,11,327430,817000,16.34
11408,04516U,台積電元大51售73,0.88,0.68,0.77,20,3652750,4718000,94.36
11408,04517U,台積電元大51售74,1.27,0.88,1.05,54,7277970,6899000,137.98
11408,04523U,台積電統一59售02,0.98,0.83,0.89,81,1633370,1819000,36.38
11408,045282,台積電統一49購11,0.78,0.63,0.67,19,1087920,1610000,161.00
11408,045283,台積電統一4C購05,0.59,0.48,0.52,27,272180,518000,13.63
11408,045284,台積電統一4C購06,0.70,0.61,0.62,5,81650,130000,5.20
11408,045285,台積電統一57購08,0.95,0.83,0.88,17,371620,419000,16.76
11408,04540U,台積電富邦53售04,1.02,0.66,0.74,21,463090,623000,8.90
11408,045416,台積電凱基56購07,2.74,2.29,2.61,43,764470,292000,26.54
11408,04543U,台積電國泰52售05,1.38,1.02,1.15,53,1597090,1383000,27.66
11408,04547U,台積電元大51售75,1.29,0.97,1.12,57,5436210,4846000,96.92
11408,04554U,台積電群益51售20,1.55,1.11,1.39,26,1350490,967000,46.51
11408,04555U,台積電群益51售21,1.34,1.14,1.19,38,2203780,1842000,72.06
11408,045586,台積電統一52購01,0.77,0.62,0.70,45,2069350,2923000,116.92
11408,045587,台積電統一57購09,7.60,6.60,7.03,73,5605300,797000,15.94
11408,045708,台積電統一52購02,0.81,0.74,0.76,12,189080,246000,4.92
11408,04571U,台積電中信53售04,0.77,0.59,0.65,67,1410360,2142000,14.28
11408,04572U,台積電中信54售05,0.72,0.51,0.56,27,471920,840000,5.60
11408,045776,台積電凱基58購01,2.66,2.15,2.30,71,1310070,568000,27.04
11408,045777,台積電凱基58購02,2.14,1.78,1.95,239,12413990,6355000,219.13
11408,045778,台積電凱基58購03,1.81,1.49,1.58,57,282530,178000,17.80
11408,045779,台積電凱基58購04,1.45,1.30,1.35,4,166590,123000,7.68
11408,04577U,台積電永豐51售11,1.53,1.04,1.18,27,486500,411000,13.70
11408,04582P,台積電統一4C售10,0.15,0.09,0.11,29,112870,942000,18.84
11408,045882,台積電永豐4A購01,0.40,0.34,0.36,4,30290,82000,3.28
11408,045883,台積電永豐4A購02,1.63,1.37,1.54,11,1656930,1074000,89.50
11408,04591U,台積電凱基53售24,0.66,0.58,0.62,6,89320,142000,2.84
11408,04602U,台積電元大51售76,0.80,0.47,0.58,17,682180,1167000,23.34
11408,04603U,台積電元大51售77,1.36,1.02,1.13,86,6573910,5802000,116.04
11408,04628U,台積電凱基53售26,0.94,0.73,0.82,9,139420,168000,3.36
11408,04640P,台積電統一4C售11,0.23,0.15,0.18,21,39000,216000,6.17
11408,046431,台積電統一4A購05,0.68,0.64,0.66,8,69060,104000,4.16
11408,046432,台積電統一52購03,0.94,0.80,0.87,48,8697410,9944000,79.55
11408,046433,台積電統一52購04,1.50,1.30,1.39,77,1143380,817000,81.70
11408,04645U,台積電元大51售78,0.56,0.20,0.27,47,958920,3465000,69.30
11408,04646U,台積電元大51售79,1.26,0.92,1.03,71,6052060,5864000,117.28
11408,046603,台積電統一4A購06,2.20,1.89,2.05,64,1572730,767000,111.15
11408,046604,台積電統一4B購01,1.37,1.16,1.30,49,774190,592000,59.20
11408,046605,台積電統一4C購09,2.09,2.01,2.03,6,81460,40000,8.00
11408,046609,台積電永豐4C購01,5.15,4.28,4.50,14,1220550,271000,33.87
11408,046610,台積電永豐4C購02,2.28,1.79,1.96,34,1624440,826000,63.53
11408,04661U,台積電凱基51售28,0.63,0.38,0.47,6,66120,138000,2.76
11408,04669U,台積電群益51售24,2.72,2.56,2.64,2,52800,20000,0.40
11408,046718,台積電統一49購12,1.14,0.94,1.05,15,847540,807000,53.80
11408,046719,台積電統一4A購07,1.30,1.05,1.15,24,947290,817000,20.42
11408,046720,台積電統一58購01,1.18,1.01,1.08,139,6090380,5591000,53.24
11408,046870,台積電永豐49購01,1.22,1.22,1.22,1,6100,5000,0.50
11408,046871,台積電永豐49購02,1.20,1.04,1.12,5,448300,400000,44.44
11408,046872,台積電永豐58購01,1.63,1.42,1.54,18,152560,99000,4.95
11408,04687U,台積電中信54售06,1.52,1.21,1.26,43,1258130,991000,9.91
11408,046900,台積電統一52購05,1.02,0.86,0.93,18,1653770,1768000,70.72
11408,04707U,台積電富邦53售05,1.24,0.96,1.10,29,868390,787000,7.87
11408,04715U,台積電元大51售80,0.71,0.33,0.40,80,4590460,11340000,75.60
11408,04721U,台積電凱基53售30,0.82,0.64,0.72,14,280730,386000,7.72
11408,047367,台積電凱基58購05,1.61,1.39,1.48,61,1338200,902000,31.10
11408,047368,台積電凱基58購06,1.72,1.54,1.68,9,272920,162000,9.00
11408,04737U,台積電凱基53售31,0.91,0.64,0.72,19,227470,313000,6.26
11408,047427,台積電統一49購13,0.78,0.63,0.70,28,3422570,4822000,482.20
11408,047439,台積電凱基58購07,1.79,1.58,1.71,54,1604760,935000,16.69
11408,047440,台積電凱基58購08,1.68,1.49,1.57,22,204450,130000,7.22
11408,047441,台積電凱基58購09,1.80,1.56,1.64,19,181190,110000,7.33
11408,04747U,台積電國泰53售01,1.60,1.13,1.25,24,516950,413000,8.26
11408,047528,台積電群益48購09,0.02,0.02,0.02,16,3020,151000,
11408,04761U,台積電元大51售81,1.40,1.06,1.15,113,8340040,7203000,144.06
11408,047825,台積電群益48購10,1.15,0.81,0.95,4,144750,152000,
11408,047826,台積電群益4A購01,1.02,0.72,0.88,36,1006110,1132000,86.80
11408,047827,台積電群益4C購01,1.30,1.04,1.18,4,7080,6000,0.57
