date,TAIEX
2025-09-19 09:00:00,25769.36
2025-09-19 09:00:05,25794.66
2025-09-19 09:00:10,25775.25
2025-09-19 09:00:15,25825.4
2025-09-19 09:00:20,25823.94
2025-09-19 09:00:25,25827.92
2025-09-19 09:00:30,25825.67
2025-09-19 09:00:35,25827.77
2025-09-19 09:00:40,25827.46
2025-09-19 09:00:45,25820.9
2025-09-19 09:00:50,25822.3
2025-09-19 09:00:55,25861.21
2025-09-19 09:01:00,25864.01
2025-09-19 09:01:05,25859.88
2025-09-19 09:01:10,25817.14
2025-09-19 09:01:15,25808.12
2025-09-19 09:01:20,25808.76
2025-09-19 09:01:25,25852.84
2025-09-19 09:01:30,25849.71
2025-09-19 09:01:35,25813.38
2025-09-19 09:01:40,25816.06
2025-09-19 09:01:45,25808.63
2025-09-19 09:01:50,25843.21
2025-09-19 09:01:55,25803.48
2025-09-19 09:02:00,25799.91
2025-09-19 09:02:05,25802.6
2025-09-19 09:02:10,25805.01
2025-09-19 09:02:15,25850.09
2025-09-19 09:02:20,25847.63
2025-09-19 09:02:25,25849.58
2025-09-19 09:02:30,25855.12
2025-09-19 09:02:35,25853.82
2025-09-19 09:02:40,25808.26
2025-09-19 09:02:45,25807.2
2025-09-19 09:02:50,25846.72
2025-09-19 09:02:55,25850.49
2025-09-19 09:03:00,25851.4
2025-09-19 09:03:05,25851.7
2025-09-19 09:03:10,25807.95
2025-09-19 09:03:15,25848.96
2025-09-19 09:03:20,25806.79
2025-09-19 09:03:25,25806.19
2025-09-19 09:03:30,25803.55
2025-09-19 09:03:35,25802.24
2025-09-19 09:03:40,25842.53
2025-09-19 09:03:45,25840.24
2025-09-19 09:03:50,25837.24
2025-09-19 09:03:55,25800.29
2025-09-19 09:04:00,25799.15
2025-09-19 09:04:05,25840.05
2025-09-19 09:04:10,25797.79
2025-09-19 09:04:15,25798.81
2025-09-19 09:04:20,25838.27
2025-09-19 09:04:25,25797.84
2025-09-19 09:04:30,25840.69
2025-09-19 09:04:35,25802.32
2025-09-19 09:04:40,25798.84
2025-09-19 09:04:45,25800.52
2025-09-19 09:04:50,25799.16
2025-09-19 09:04:55,25838.84
2025-09-19 09:05:00,25839.51
2025-09-19 09:05:05,25838.71
2025-09-19 09:05:10,25842.03
2025-09-19 09:05:15,25839.52
2025-09-19 09:05:20,25798.54
2025-09-19 09:05:25,25794.81
2025-09-19 09:05:30,25838.75
2025-09-19 09:05:35,25798.25
2025-09-19 09:05:40,25792.09
2025-09-19 09:05:45,25834.25
2025-09-19 09:05:50,25792.55
