date,stock_id,buy,name,sell
2016-02-17,2330,69000,Dealer_self,898000
2016-02-17,2330,3297500,Dealer_Hedging,666000
2016-02-18,2330,54796244,Foreign_Investor,19365226
2016-02-18,2330,120000,Investment_Trust,34000
2016-02-18,2330,0,Dealer_self,259000
2016-02-18,2330,514000,Dealer_Hedging,850000
2016-02-19,2330,32997886,Foreign_Investor,22250130
2016-02-19,2330,71000,Investment_Trust,92000
2016-02-19,2330,213000,Dealer_self,35000
2016-02-19,2330,985000,Dealer_Hedging,322000
2016-02-22,2330,24721000,Foreign_Investor,10019603
2016-02-22,2330,45000,Investment_Trust,60000
2016-02-22,2330,46000,Dealer_self,1062000
2016-02-22,2330,1310000,Dealer_Hedging,574000
2016-02-23,2330,15344966,Foreign_Investor,13550638
2016-02-23,2330,66000,Investment_Trust,126000
2016-02-23,2330,16000,Dealer_self,127000
2016-02-23,2330,669000,Dealer_Hedging,96000
2016-02-24,2330,15040456,Foreign_Investor,13886075
2016-02-24,2330,0,Investment_Trust,96000
2016-02-24,2330,220000,Dealer_self,291000
2016-02-24,2330,524000,Dealer_Hedging,370000
2016-02-25,2330,23302824,Foreign_Investor,8709617
2016-02-25,2330,54000,Investment_Trust,25000
2016-02-25,2330,54000,Dealer_self,50000
2016-02-25,2330,396000,Dealer_Hedging,1044000
2016-02-26,2330,35157000,Foreign_Investor,29642676
2016-02-26,2330,207000,Investment_Trust,605000
2016-02-26,2330,1490000,Dealer_self,0
2016-02-26,2330,1156000,Dealer_Hedging,105000
2016-03-01,2330,37320874,Foreign_Investor,28884621
2016-03-01,2330,316000,Investment_Trust,155000
2016-03-01,2330,40000,Dealer_self,14000
2016-03-01,2330,162000,Dealer_Hedging,508000
2016-03-02,2330,28723421,Foreign_Investor,14352634
2016-03-02,2330,858000,Investment_Trust,69000
2016-03-02,2330,212000,Dealer_self,75000
2016-03-02,2330,161000,Dealer_Hedging,291000
2016-03-03,2330,26475700,Foreign_Investor,10117098
2016-03-03,2330,0,Investment_Trust,64000
2016-03-03,2330,32000,Dealer_self,300000
2016-03-03,2330,45000,Dealer_Hedging,895000
2016-03-04,2330,28781473,Foreign_Investor,29045767
2016-03-04,2330,0,Investment_Trust,401000
2016-03-04,2330,210000,Dealer_self,210000
2016-03-04,2330,1624000,Dealer_Hedging,219000
2016-03-07,2330,19263501,Foreign_Investor,19286165
2016-03-07,2330,296000,Investment_Trust,202000
2016-03-07,2330,69000,Dealer_self,204000
2016-03-07,2330,498000,Dealer_Hedging,222000
2016-03-08,2330,32456008,Foreign_Investor,25931608
2016-03-08,2330,99000,Investment_Trust,240000
2016-03-08,2330,457000,Dealer_self,230000
2016-03-08,2330,902000,Dealer_Hedging,240000
2016-03-09,2330,22674673,Foreign_Investor,10467734
2016-03-09,2330,6000,Investment_Trust,375000
2016-03-09,2330,68000,Dealer_self,191000
2016-03-09,2330,359000,Dealer_Hedging,861000
2016-03-10,2330,28878000,Foreign_Investor,14777460
2016-03-10,2330,316000,Investment_Trust,303000
2016-03-10,2330,45000,Dealer_self,557000
2016-03-10,2330,177000,Dealer_Hedging,992000
2016-03-11,2330,28609809,Foreign_Investor,13517925
2016-03-11,2330,238000,Investment_Trust,69000
2016-03-11,2330,157000,Dealer_self,331000
2016-03-11,2330,274000,Dealer_Hedging,524652
2016-03-14,2330,25996500,Foreign_Investor,7425708
2016-03-14,2330,12000,Investment_Trust,387000
2016-03-14,2330,315000,Dealer_self,140000
2016-03-14,2330,569000,Dealer_Hedging,644000
2016-03-15,2330,22319182,Foreign_Investor,15151714
2016-03-15,2330,20000,Investment_Trust,406000
2016-03-15,2330,159000,Dealer_self,663000
