Year,Code,Name,TradeVolume,TradeValue,Transaction,HighestPrice,HDate,LowestPrice,LDate,AvgClosingPrice
113,084073,台積電國泰51購08,14112000,12080840,396,2.10,7月11日,0.01,8月06日,0.81
113,084074,台積電國泰51購09,2905000,1817770,61,1.17,4月08日,0.08,8月06日,0.56
113,08408U,台積電國泰33售06,125000,28850,5,0.30,1月05日,0.15,1月18日,0.22
113,084098,台積電統一53購02,15132000,65025560,2772,5.90,7月11日,2.78,4月22日,4.27
113,08411U,台積電群益31售03,,,,,5月27日,,8月30日,
113,084253,台積電凱基4C購44,9000000,9012170,502,1.81,4月29日,0.17,11月13日,0.99
113,08425T,台積電富邦43售07,57437000,22748640,2304,0.75,5月21日,0.03,12月30日,0.33
113,084289,台積電元大51購43,6893000,4790740,140,1.15,3月29日,0.34,7月08日,0.60
113,084290,台積電元大54購08,10272000,6402350,183,1.05,3月28日,0.12,11月07日,0.60
113,084369,台積電凱基53購11,593000,1052370,48,3.37,7月12日,0.90,3月19日,2.02
113,084394,台積電元富56購02,10699000,27925340,275,10.30,4月18日,1.47,3月22日,5.03
113,084395,台積電元富56購03,23253000,64431560,1588,4.36,4月12日,0.56,12月16日,2.08
113,084397,台積電元富56購04,3226000,12635530,371,7.45,6月13日,2.26,3月19日,4.54
113,084398,台積電元富56購05,140000,320610,10,2.54,3月22日,2.09,3月20日,2.37
113,084429,台積電統一46購03,25886000,27799490,550,1.58,7月11日,0.65,4月22日,1.06
113,084430,台積電統一49購03,57148000,71469110,1659,1.63,7月11日,0.78,4月22日,1.20
113,084431,台積電統一49購04,115242000,90938690,5169,1.12,7月11日,0.50,8月05日,0.77
113,084435,台積電台新4C購05,58798000,37633880,1244,1.01,5月27日,0.25,8月05日,0.56
113,084455,台積電元大4C購27,35999000,50025740,1294,4.69,4月09日,0.11,10月01日,1.96
113,084456,台積電元大51購44,44921000,68228400,1666,4.00,4月10日,0.14,11月29日,1.68
113,084525,台積電群益56購02,474000,312500,25,1.44,6月13日,0.34,4月22日,0.66
113,08460U,台積電群益31售06,,,,,9月11日,,7月17日,
113,08461U,台積電群益31售07,56000,3130,4,0.06,1月03日,0.05,1月04日,0.06
113,08462U,台積電群益31售08,102000,25500,8,0.35,1月05日,0.17,1月18日,0.29
113,084647,台積電凱基51購16,10160000,12688250,270,2.40,5月09日,0.92,3月19日,1.57
113,084649,台積電凱基53購13,30309000,30001310,1275,4.77,7月11日,0.03,8月30日,1.23
113,084671,台積電群益51購09,27999000,18903400,526,1.25,3月20日,0.01,10月21日,0.49
113,084701,台積電元大4C購28,300000,617830,22,3.89,5月28日,1.60,4月17日,2.32
113,084702,台積電元大51購45,8696000,13777650,325,2.74,5月16日,0.09,10月22日,1.58
113,08475T,台積電凱基3B售30,3583000,4183470,97,1.94,5月31日,0.05,10月11日,0.91
113,08476T,台積電凱基41售14,3649000,3816100,76,2.79,8月06日,0.50,10月15日,1.31
113,084772,台積電群益51購11,27449000,19501920,666,1.99,5月27日,0.25,10月09日,0.79
113,084796,台積電元富51購04,5207000,2139090,84,2.64,5月07日,0.15,8月09日,1.44
113,084797,台積電元富51購05,12600000,27251130,608,4.74,8月20日,1.08,4月19日,2.79
113,084798,台積電元富51購06,3796000,6180440,170,4.40,6月20日,1.10,4月22日,2.03
113,084799,台積電元富51購07,14859000,26283550,737,4.86,7月08日,1.09,4月16日,2.23
113,084800,台積電元富51購08,2627000,3659820,114,6.25,6月14日,1.14,3月21日,1.95
113,084844,台積電凱基53購14,15964000,10618510,414,0.81,7月22日,0.09,12月31日,0.47
113,084845,台積電凱基54購12,26757000,28413300,2899,1.85,4月18日,0.16,12月24日,0.88
113,084908,台積電元大51購46,21198000,28896550,584,2.32,10月29日,0.66,3月25日,1.24
113,084909,台積電元大54購09,13778000,2759090,102,0.45,4月19日,0.01,10月14日,0.20
113,08493T,台積電永豐3C售08,3999000,2341300,233,1.40,8月08日,0.02,11月15日,0.63
113,08494T,台積電永豐3C售09,2980000,681870,48,1.11,8月06日,0.06,11月05日,0.40
113,084954,台積電凱基51購17,5743000,15617610,472,6.10,6月26日,1.58,4月22日,2.95
113,084955,台積電凱基53購15,26566000,60601720,1463,4.17,7月11日,0.01,12月26日,2.14
113,08497T,台積電台新3B售01,1036000,843200,39,2.86,8月06日,0.29,7月15日,1.08
113,085048,台積電元大51購47,8771000,13889290,430,2.41,5月16日,0.20,11月11日,1.53
113,085056,台積電第一46購02,10081000,13058290,387,3.00,10月18日,0.84,4月25日,1.61
113,085121,台積電元富4C購14,20250000,33781770,927,4.02,5月27日,0.02,12月24日,1.65
113,085130,台積電統一53購03,16321000,59962460,2801,5.50,7月11日,2.71,4月22日,3.96
113,085142,台積電群益53購03,4532000,1670010,178,0.88,4月12日,0.09,12月13日,0.38
113,085171,台積電凱基51購18,5918000,12708650,431,4.68,6月06日,1.40,4月19日,2.73
113,085216,台積電元大4C購29,3901000,8286510,179,5.50,7月04日,1.57,4月22日,2.34
113,085256,台積電永豐45購01,31818000,86885170,1592,4.53,7月11日,1.05,4月22日,2.71
113,085338,台積電凱基4C購46,51740000,42452520,1533,1.30,7月19日,0.20,12月25日,0.75
113,085373,台積電元大4C購30,1682000,1297910,37,1.14,3月28日,0.31,6月04日,0.66
113,085419,台積電群益52購04,4370000,3403880,188,1.24,6月20日,0.10,8月05日,0.71
113,085480,台積電富邦54購02,11515000,8837070,191,1.53,6月21日,0.30,10月14日,0.82
113,085527,台積電凱基45購02,28269000,77435660,992,7.90,7月11日,1.64,4月22日,4.32
113,085582,台積電群益53購04,8317000,3835930,228,1.28,3月28日,0.02,8月06日,0.38
113,085602,台積電永豐66購02,6345000,3093080,241,0.59,7月02日,0.09,12月25日,0.48
113,085696,台積電凱基51購19,20000,87200,2,4.56,6月03日,4.16,4月10日,4.36
113,085727,台積電元大51購48,23836000,8208440,315,0.62,3月28日,0.04,9月03日,0.37
113,085790,台積電中信54購03,5116000,8927330,259,2.85,7月03日,0.73,8月07日,1.79
113,085811,台積電元富4C購15,756000,241980,19,0.59,3月28日,0.30,6月17日,0.36
113,085812,台積電元富52購04,6656000,3294240,146,0.65,7月04日,0.22,9月23日,0.43
113,085815,台積電元富56購08,65218000,57151420,1240,1.48,6月26日,0.14,11月28日,0.63
113,085861,台積電群益52購05,13328000,11677060,334,1.47,7月09日,0.10,11月18日,0.91
113,08595T,台積電元大3B售41,26215000,14600400,1067,1.21,5月31日,0.01,10月28日,0.53
113,08596T,台積電元大3B售42,5805000,2910670,291,0.92,5月31日,0.04,10月24日,0.48
