buy,date,name,sell
26135446396,2016-02-03,Foreign_Investor,27888393400
30259054644,2016-02-03,total,34883447225
608596900,2016-02-03,Investment_Trust,961746392
2595575108,2016-02-03,Dealer_Hedging,4920108303
1297710140,2016-02-15,Dealer_self,833147710
36953143753,2016-02-15,Foreign_Investor,40008167272
43380784932,2016-02-15,total,46976128006
754884299,2016-02-15,Investment_Trust,1537368641
4375046740,2016-02-15,Dealer_Hedging,4597444383
6254670762,2016-02-16,Dealer_Hedging,5198502838
34259620878,2016-02-16,Foreign_Investor,25194522960
1207399218,2016-02-16,Investment_Trust,1073183184
1805507270,2016-02-16,Dealer_self,938622207
43527198128,2016-02-16,total,32404831189
1328772090,2016-02-17,Investment_Trust,1063638022
1760491350,2016-02-17,Dealer_self,968517330
34529800694,2016-02-17,total,32140443991
6071257279,2016-02-17,Dealer_Hedging,7044047647
25369279975,2016-02-17,Foreign_Investor,23064240992
5300157120,2016-02-18,Dealer_Hedging,5556058495
1435034700,2016-02-18,Dealer_self,960556574
43909891696,2016-02-18,total,32717013997
1339818065,2016-02-18,Investment_Trust,1047760239
35834881811,2016-02-18,Foreign_Investor,25152638689
23586092993,2016-02-19,Foreign_Investor,21096634176
29548503443,2016-02-19,total,28096951992
914942970,2016-02-19,Investment_Trust,1294610246
3773048690,2016-02-19,Dealer_Hedging,4773883450
1274418790,2016-02-19,Dealer_self,931824120
19816481546,2016-02-22,Foreign_Investor,17065244215
27159976636,2016-02-22,total,24331475568
783878300,2016-02-22,Investment_Trust,774797461
1071070160,2016-02-22,Dealer_self,1134033630
5488546630,2016-02-22,Dealer_Hedging,5357400262
1077672070,2016-02-23,Investment_Trust,1080633664
25387261819,2016-02-23,total,25837651921
19460484919,2016-02-23,Foreign_Investor,18226454572
3766784290,2016-02-23,Dealer_Hedging,5392574735
1082320540,2016-02-23,Dealer_self,1137988950
24666779174,2016-02-24,total,28358961109
3735982483,2016-02-24,Dealer_Hedging,5812857643
18845600741,2016-02-24,Foreign_Investor,19557224669
1130688200,2016-02-24,Investment_Trust,1781921904
954507750,2016-02-24,Dealer_self,1206956893
5259186420,2016-02-25,Dealer_Hedging,6408557115
32267792905,2016-02-25,total,25907414851
25013992185,2016-02-25,Foreign_Investor,17498333583
990525740,2016-02-25,Investment_Trust,893278573
1004088560,2016-02-25,Dealer_self,1107245580
1246898408,2016-02-26,Dealer_self,963479340
38503273924,2016-02-26,total,29910795474
4038044330,2016-02-26,Dealer_Hedging,5274549847
1415393750,2016-02-26,Investment_Trust,1010356755
31802937436,2016-02-26,Foreign_Investor,22662409532
38185225209,2016-03-01,total,35020880157
1430372200,2016-03-01,Investment_Trust,1309929140
1442851360,2016-03-01,Dealer_self,879784920
4644833070,2016-03-01,Dealer_Hedging,5496700230
30667168579,2016-03-01,Foreign_Investor,27334465867
1256726781,2016-03-02,Investment_Trust,1272012487
1681528370,2016-03-02,Dealer_self,1277984900
27615977035,2016-03-02,Foreign_Investor,19936472109
7183967760,2016-03-02,Dealer_Hedging,5523655594
37738199946,2016-03-02,total,28010125090
933978280,2016-03-03,Investment_Trust,1312582187
5124670430,2016-03-03,Dealer_Hedging,6680993759
41546859996,2016-03-03,total,29201853987
34416975535,2016-03-03,Foreign_Investor,19946590544
1071235751,2016-03-03,Dealer_self,1261687497
29162459593,2016-03-04,Foreign_Investor,22535493849
1371292470,2016-03-04,Investment_Trust,1344417977
6747558408,2016-03-04,Dealer_Hedging,5498760000
38286738351,2016-03-04,total,30461006256
1005427880,2016-03-04,Dealer_self,1082334430
1194315220,2016-03-07,Dealer_self,1409176189
5541875269,2016-03-07,Dealer_Hedging,6460459315
33513928164,2016-03-07,total,28951366108
25374846883,2016-03-07,Foreign_Investor,19433061337
1402890792,2016-03-07,Investment_Trust,1648669267
1466276930,2016-03-08,Dealer_self,1374123490
29312562577,2016-03-08,Foreign_Investor,24446405749
6199519800,2016-03-08,Dealer_Hedging,7919591254
38582480277,2016-03-08,total,35768689682
1604120970,2016-03-08,Investment_Trust,2028569189
5040777570,2016-03-09,Dealer_Hedging,5129957440
23534318648,2016-03-09,Foreign_Investor,20670767534
1065188620,2016-03-09,Dealer_self,1155393120
30756093901,2016-03-09,total,28744960310
1115809063,2016-03-09,Investment_Trust,1788842216
1012532330,2016-03-10,Dealer_self,803747340
24397199063,2016-03-10,Foreign_Investor,16742583335
32215130333,2016-03-10,total,23288578598
1329274190,2016-03-10,Investment_Trust,1287385213
5476124750,2016-03-10,Dealer_Hedging,4454862710
34866421646,2016-03-11,total,25077019502
936140000,2016-03-11,Dealer_self,864898334
1233041260,2016-03-11,Investment_Trust,1113605034
28080619636,2016-03-11,Foreign_Investor,16642355001
4616620750,2016-03-11,Dealer_Hedging,6456161133
25255501384,2016-03-14,Foreign_Investor,16094479080
1311100900,2016-03-14,Dealer_self,1244204870
34323295932,2016-03-14,total,23901320104
6544642538,2016-03-14,Dealer_Hedging,5405381636
1212051110,2016-03-14,Investment_Trust,1157254518
28469004249,2016-03-15,Foreign_Investor,23964770451
4237034750,2016-03-15,Dealer_Hedging,9168439188
1121968540,2016-03-15,Dealer_self,2056501850
890558523,2016-03-15,Investment_Trust,1568763358
34718566062,2016-03-15,total,36758474847
1593658850,2016-03-16,Dealer_self,1311194350
29643258695,2016-03-16,Foreign_Investor,17224543791
974476000,2016-03-16,Investment_Trust,1504964118
40839460946,2016-03-16,total,25988659099
8628067401,2016-03-16,Dealer_Hedging,5947956840
6801819035,2016-03-17,Dealer_Hedging,7958056797
34910949439,2016-03-17,Foreign_Investor,20586030619
1409805680,2016-03-17,Dealer_self,1645161130
44449942734,2016-03-17,total,31523517466
1327368580,2016-03-17,Investment_Trust,1334268920
5524747876,2016-03-18,Dealer_Hedging,6639565830
2797432210,2016-03-18,Investment_Trust,2850015164
1236319369,2016-03-18,Dealer_self,1194160999
64002686625,2016-03-18,total,47798741075
54444187170,2016-03-18,Foreign_Investor,37114999082
1082849675,2016-03-21,Dealer_self,898761739
1026074470,2016-03-21,Investment_Trust,1010221734
32154915653,2016-03-21,total,27949759689
5638745230,2016-03-21,Dealer_Hedging,6164997669
24407246278,2016-03-21,Foreign_Investor,19875778547
1071551030,2016-03-22,Dealer_self,1398150400
4198096760,2016-03-22,Dealer_Hedging,7229842712
