stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
06934P,2015M01,0.02,0.0,660000,13200,4,2016-01-01,0.0,0.0,-0.03
06935P,2015M01,1.63,0.0,1758000,2020120,128,2016-01-01,1.01,0.51,0.52
06936P,2015M01,0.12,0.0,1360000,145200,20,2016-01-01,0.0,0.0,0.0
06937P,2015M01,0.7,0.0,5514000,2918560,82,2016-01-01,0.0,0.0,0.0
06938P,2015M01,0.69,0.0,1750000,647780,42,2016-01-01,0.0,0.2,0.0
06939P,2015M01,1.98,0.88,7688000,10673080,302,2016-01-01,1.23,0.88,1.23
06940P,2015M01,1.45,0.0,2720000,2609620,80,2016-01-01,0.52,0.69,-0.22
06941P,2015M01,0.11,0.0,3282000,312800,110,2016-01-01,0.04,0.11,-0.08
06942P,2015M01,2.69,1.24,5210000,9710540,262,2016-01-01,2.4,1.24,2.4
06943P,2015M01,1.55,0.0,2736000,3216640,130,2016-01-01,0.0,0.79,0.0
06944P,2015M01,0.84,0.0,2730000,1615520,116,2016-01-01,0.0,0.35,0.0
06945P,2015M01,1.06,0.0,256000,266060,14,2016-01-01,0.0,0.0,-0.78
06946P,2015M01,0.69,0.0,1184000,651400,48,2016-01-01,0.24,0.45,0.24
06947P,2015M01,1.69,0.0,36000,58540,6,2016-01-01,0.0,0.0,0.0
06948P,2015M01,2.84,0.35,91768000,138805540,3156,2016-01-01,0.43,1.26,-0.83
06949P,2015M01,2.99,0.0,10304000,18639480,424,2016-01-01,1.16,1.87,-0.68
06950P,2015M01,2.98,0.0,46000,126680,8,2016-01-01,0.0,0.0,0.0
06951P,2015M01,2.44,0.0,180000,400940,32,2016-01-01,0.0,0.0,0.0
06952P,2015M01,3.77,0.0,3812000,10486700,308,2016-01-01,0.0,1.19,-1.25
06953P,2015M01,0.16,0.0,2404000,246820,48,2016-01-01,0.0,0.0,-0.07
06954P,2015M01,1.25,0.0,7336000,5979880,192,2016-01-01,0.0,0.64,-0.61
06955P,2015M01,1.84,0.67,58150000,80887200,1718,2016-01-01,1.22,0.67,0.57
06956P,2015M01,4.15,0.0,3906000,12492120,124,2016-01-01,1.68,2.62,-1.02
06957P,2015M01,3.28,0.91,32518000,75524860,980,2016-01-01,1.05,1.89,-0.87
06958P,2015M01,1.74,0.0,8520000,10324580,254,2016-01-01,0.65,1.0,-0.38
06959P,2015M01,1.17,0.0,6272000,5972820,200,2016-01-01,0.0,0.79,-0.79
06960P,2015M01,0.06,0.0,602000,16220,40,2016-01-01,0.0,0.01,0.0
06961P,2015M01,1.11,0.18,27298000,17542720,986,2016-01-01,0.24,0.2,0.0
06962P,2015M01,1.26,0.0,854000,815180,48,2016-01-01,0.0,0.8,0.0
06963P,2015M01,1.06,0.0,3140000,2896940,202,2016-01-01,0.76,0.84,-0.04
06964P,2015M01,0.22,0.0,5714000,609280,72,2016-01-01,0.06,0.0,0.06
06965P,2015M01,2.07,0.0,2156000,3319700,158,2016-01-01,0.0,0.91,0.0
06966P,2015M01,0.55,0.0,20006000,8708080,272,2016-01-01,0.0,0.36,-0.38
06967P,2015M01,1.61,0.0,20000,27580,8,2016-01-01,0.0,0.0,0.0
06968P,2015M01,0.05,0.0,1300000,16740,30,2016-01-01,0.0,0.0,0.0
06969P,2015M01,0.33,0.0,208000,54280,10,2016-01-01,0.0,0.0,0.0
06970P,2015M01,0.2,0.0,372000,46640,16,2016-01-01,0.0,0.0,0.0
06971P,2015M01,1.29,0.0,20720000,23720760,304,2016-01-01,0.58,0.0,0.58
06972P,2015M01,2.23,0.0,2118000,3780400,116,2016-01-01,0.0,1.47,-1.41
06973P,2015M01,1.86,0.0,14230000,14400520,234,2016-01-01,0.0,0.73,-0.75
06974P,2015M01,2.88,0.57,41022000,69251400,1296,2016-01-01,0.68,1.51,-0.82
06975P,2015M01,2.94,0.85,20722000,42016860,674,2016-01-01,0.95,1.75,-0.77
06976P,2015M01,3.23,0.0,2362000,5870220,122,2016-01-01,1.49,2.18,-0.63
06977P,2015M01,3.24,0.0,2510000,7044880,140,2016-01-01,1.57,2.26,-0.66
06978P,2015M01,1.6,0.0,1106000,1236920,82,2016-01-01,0.0,0.61,-0.64
06979P,2015M01,2.18,0.0,100000,200740,26,2016-01-01,1.38,0.0,-0.17
06980P,2015M01,1.55,0.0,1464000,1994380,96,2016-01-01,0.59,1.0,-0.39
06981P,2015M01,2.5,0.43,6758000,7314420,342,2016-01-01,1.92,0.43,1.32
06982P,2015M01,0.16,0.0,120000,16200,8,2016-01-01,0.0,0.0,0.0
06983P,2015M01,0.12,0.0,440000,41800,24,2016-01-01,0.0,0.0,0.0
06984P,2015M01,1.32,0.0,26508000,29997400,606,2016-01-01,0.43,0.96,-0.55
06985P,2015M01,0.76,0.0,12774000,7106780,224,2016-01-01,0.0,0.4,-0.4
06986P,2015M01,2.83,0.0,2932000,6659280,104,2016-01-01,0.0,1.46,0.0
06987P,2015M01,2.17,0.0,1600000,3071380,84,2016-01-01,2.1,1.72,0.44
06988P,2015M01,1.24,0.0,6068000,4830380,232,2016-01-01,0.88,0.6,0.3
06989P,2015M01,0.24,0.0,2272000,302900,122,2016-01-01,0.0,0.09,-0.15
06990P,2015M01,0.05,0.0,1552000,45380,96,2016-01-01,0.0,0.0,0.0
06991P,2015M01,1.36,0.0,1968000,1906520,184,2016-01-01,0.51,1.36,-0.32
06992P,2015M01,0.51,0.0,582000,228400,38,2016-01-01,0.4,0.0,-0.01
06993P,2015M01,2.43,0.0,522000,871240,48,2016-01-01,0.0,0.9,-0.89
06994P,2015M01,5.3,0.0,434000,1915520,40,2016-01-01,2.93,3.94,2.93
06995P,2015M01,1.1,0.0,10252000,8065640,230,2016-01-01,0.6,0.53,0.07
06996P,2015M01,1.94,0.0,6942000,7285240,582,2016-01-01,0.0,0.62,-0.66
06997P,2015M01,1.13,0.0,200000,189200,12,2016-01-01,0.0,0.0,-0.7
06998P,2015M01,1.41,0.0,11778000,10774860,286,2016-01-01,0.0,0.42,-0.43
06999P,2015M01,1.6,0.0,3614000,3849920,118,2016-01-01,0.43,0.9,-0.47
07000P,2015M01,0.6,0.0,23220000,8375420,160,2016-01-01,0.19,0.35,-0.14
07001P,2015M01,0.95,0.0,6938000,4611840,88,2016-01-01,0.71,0.57,0.17
07002P,2015M01,0.1,0.0,1326000,82740,58,2016-01-01,0.0,0.0,0.0
07003P,2015M01,0.65,0.0,4382000,2536020,50,2016-01-01,0.0,0.0,0.0
07004P,2015M01,0.78,0.0,13442000,7327860,500,2016-01-01,0.24,0.37,0.24
07005P,2015M01,0.89,0.0,7772000,5977760,264,2016-01-01,0.33,0.78,-0.37
07006P,2015M01,0.03,0.0,1164000,23560,42,2016-01-01,0.0,0.0,0.0
07007P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
07008P,2015M01,0.47,0.0,27280000,4559460,584,2016-01-01,0.02,0.31,-0.32
07009P,2015M01,0.1,0.0,1402000,91380,32,2016-01-01,0.0,0.0,0.0
07010P,2015M01,1.79,0.0,2460000,3595500,110,2016-01-01,0.0,0.97,-0.93
07011P,2015M01,0.68,0.0,3060000,1797600,94,2016-01-01,0.0,0.55,0.0
07012P,2015M01,1.48,0.0,1650000,1788660,124,2016-01-01,0.43,0.86,-0.43
07013P,2015M01,1.5,0.0,2814000,3121100,52,2016-01-01,0.69,1.03,-0.33
07014P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
07015P,2015M01,0.99,0.0,5406000,4847860,152,2016-01-01,0.86,0.77,0.05
07016P,2015M01,0.53,0.0,8180000,2314920,162,2016-01-01,0.05,0.45,-0.41
07017P,2015M01,3.46,0.88,12714000,26381160,394,2016-01-01,2.24,0.88,1.28
07018P,2015M01,0.67,0.0,3696000,1671420,136,2016-01-01,0.33,0.31,-0.02
07019P,2015M01,0.07,0.0,1040000,56600,6,2016-01-01,0.0,0.0,-0.1
07020P,2015M01,1.23,0.0,30000,25740,4,2016-01-01,0.61,0.0,0.61
07021P,2015M01,2.96,0.0,2504000,5208240,140,2016-01-01,0.99,1.85,-0.51
07022P,2015M01,4.77,0.0,2960000,9367360,212,2016-01-01,0.0,1.62,-1.58
07023P,2015M01,1.0,0.0,16252000,12750380,222,2016-01-01,0.46,0.69,-0.27
07024P,2015M01,0.21,0.0,240000,45600,6,2016-01-01,0.0,0.0,0.0
07025P,2015M01,2.18,0.0,10210000,14978780,228,2016-01-01,1.9,1.1,1.9
