"event_date","event_title"
2019-01-10,"Monthly Sales - Decebmer 2018"
2018-12-10,"Monthly Sales - November 2018"
2018-11-09,"Monthly Sales - October 2018"
2018-10-18,"3Q18 Results - Earnings Conference and Conference Call"
2018-10-09,"Monthly Sales - September 2018"
2018-09-10,"Monthly Sales - August 2018"
2018-08-10,"Monthly Sales - July 2018"
2018-07-19,"2Q18 Results - Earnings Conference and Conference Call"
2018-07-10,"Monthly Sales - June 2018"
2018-06-08,"Monthly Sales - May 2018"
2018-05-10,"Monthly Sales - April 2018"
2018-04-19,"1Q18 Results - Earnings Conference and Conference Call"
2018-04-10,"Monthly Sales - March 2018"
2018-03-09,"Monthly Sales - February 2018"
2018-02-09,"Monthly Sales - January 2018"
2018-01-18,"4Q17 Results - Earnings Conference and Conference Call"
2018-01-10,"Monthly Sales - December 2017"
2017-12-08,"Monthly Sales - November 2017"
2017-11-10,"Monthly Sales - October 2017"
2017-10-19,"3Q17 Results - Earnings Conference and Conference Call"
2017-10-06,"Monthly Sales - September 2017"
2017-09-08,"Monthly Sales - August 2017"
2017-08-10,"Monthly Sales - July 2017"
2017-07-13,"2Q17 Results - Earnings Conference and Conference Call"
2017-07-10,"Monthly Sales - June 2017"
2017-06-09,"Monthly Sales - May 2017"
2017-06-08,"Annual General Shareholders' Meeting"
2017-05-10,"Monthly Sales - April 2017"
2017-04-13,"1Q17 Results - Earnings Conference and Conference Call"
2017-04-10,"Monthly Sales - March 2017"
2017-03-10,"Monthly Sales - February 2017"
2017-02-10,"Monthly Sales - January 2017"
2017-01-12,"4Q16 Results - Earnings Conference and Conference Call"
2017-01-10,"Monthly Sales - December 2016"
2016-12-09,"Monthly Sales - November 2016"
2016-11-10,"Monthly Sales - October 2016"
2016-10-13,"3Q16 Results - Earnings Conference and Conference Call"
2016-10-07,"Monthly Sales - September 2016"
2016-09-09,"Monthly Sales - August 2016"
2016-08-10,"Monthly Sales - July 2016"
2016-07-14,"2Q16 Results - Earnings Conference and Conference Call"
2016-07-11,"Monthly Sales - June 2016"
2016-06-08,"Monthly Sales - May 2016"
2016-06-07,"Annual General Shareholders' Meeting"
2016-05-10,"Monthly Sales - April 2016"
2016-04-14,"1Q16 Results - Earnings Conference and Conference Call"
2016-04-08,"Monthly Sales - March 2016"
2016-03-10,"Monthly Sales - February 2016"
2016-02-15,"Monthly Sales - January 2016"
2016-01-14,"4Q15 Results - Earnings Conference and Conference Call"
2016-01-08,"Monthly Sales - December 2015"
2015-12-10,"Monthly Sales - November 2015"
2015-11-10,"Monthly Sales - October 2015"
2015-10-15,"3Q15 Results - Earnings Conference and Conference Call"
2015-10-08,"Monthly Sales - September 2015"
2015-09-10,"Monthly Sales - August 2015"
2015-08-10,"Monthly Sales - July 2015"
2015-07-16,"2Q15 Results - Earnings Conference and Conference Call"
2015-07-10,"Monthly Sales - June 2015"
2015-06-10,"Monthly Sales - May 2015"
2015-06-09,"Annual General Shareholders' Meeting"
